"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Dimensional Shackles","DMG'24","254","rare","wondrous item","","","","","","","You can take a Utilize action to place these shackles on a creature that has the Incapacitated condition. The shackles adjust to fit a creature of Small to Large size. The shackles prevent a creature bound by them from using any method of extradimensional movement, including teleportation or travel to a different plane of existence. They don't prevent the creature from passing through an interdimensional portal.You and any creature you designate when you use the shackles can take a Utilize action to remove them. Once every 30 days, the bound creature can make a DC 30 Strength (Athletics) check. On a successful check, the creature breaks free and destroys the shackles."
"Diplomat's Pack","PHB'24","225","none","adventuring gear","","","","","39 lb.","39 gp","A Diplomat's Pack contains the following items: Chest, Fine Clothes, Ink, 5 Ink Pens, Lamp, 2 Map or Scroll Cases, 4 flasks of Oil, 5 sheets of Paper, 5 sheets of Parchment, Perfume, and Tinderbox."
"Disguise Kit","PHB'24","221","none","tool","","","","","3 lb.","25 gp","Ability: CharismaUtilize: Apply makeup (DC 10)Craft: CostumeIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Documancy Satchel","AI","24","varies","wondrous item","","","","","","","At rank 2, your documancy satchel becomes a common magic item, allowing you to magically send and receive documents to and from Head Office through a special pouch. Your documancy satchel magically produces prewritten and signature-ready contracts at your request, covering most common contractual needs. It also occasionally produces sticky notes printed with useful information and inspirational quotes from Head Office. Satchel of Holding. At rank 3, your documancy satchel gains additional features and becomes an uncommon magic item. One of the satchel's pouches now functions as a bag of holding.Additionally, you can use an action to draw forth from the documancy satchel a spell scroll of comprehend languages. The scroll vanishes when used, or ten minutes after it appears. This property of the bag can't be used again until the next dawn. Scroll Humidor. At rank 4, your documancy satchel gains additional power and becomes a rare magic item. Within the satchel, a dedicated extradimensional space can hold up to thirty documents or spell scrolls. Placing a single document into the scroll humidor is an action. Drawing forth a desired scroll is a bonus action."
"Dodecahedron of Doom","WDMM","284","rare","wondrous item","","","","","","","This twelve-sided metal die is 12 inches across and bears the numbers 1 through 12 engraved on its pentagonal sides. The dodecahedron contains arcane clockwork mechanisms that whir and click whenever the die is cast.The dodecahedron can be hurled up to 60 feet as an action. A random magical effect occurs when the die comes to rest after rolling across the ground for at least 10 feet. If an effect requires a target and no eligible target is within range, nothing happens. Spells cast by the dodecahedron require no components. Roll a d12 and consult the following table to determine the effect:d12effect1-2The dodecahedron explodes and is destroyed. Each creature within 20 feet of the exploding die must make a DC 13 Dexterity saving throw, taking 40 (9d8) force damage on a failed save, or half as much damage on a successful one.3-4The dodecahedron casts light on itself. The effect lasts until a creature touches the die.5-6The dodecahedron casts ray of frost (+5 to hit), targeting a random creature within 60 feet of it that doesn't have total cover against the attack.7-8The dodecahedron casts shocking grasp (+5 to hit) on the next creature that touches it.9-10The dodecahedron casts darkness on itself. The effect has a duration of 10 minutes.11-12The next creature to touch the dodecahedron gains 1d10 temporary hit points that last for 1 hour."
"Dogsled","IDRotF","20","none","vehicle (land)","","","","","300 lb.","20 gp","An empty sled costs 20 gp, weighs 300 pounds, and has room at the back for one driver."
"Donjon Card","BMT","13","legendary","wondrous item","","","","","","","As an action, you can brandish this card at one creature you can see within 30 feet of yourself. The target must succeed on a DC 17 Charisma saving throw, or it vanishes, transported to a prison on another plane of existence. After 1 minute, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Once this property is used, it can't be used again until the next dawn."
"Donjon's Sundering Sphere","BMT","35","rare","wondrous item","requires attunement","","","","","","This marble-size crystal sphere glows with extraplanar energy.As part of attuning to this item, you press the crystal sphere to the hilt of a nonmagical melee weapon of your choice, magically attaching the sphere to the weapon. The weapon becomes a magic weapon with a +1 bonus to attack and damage rolls. While wielding this weapon, you gain the following benefits:Dimensional Anchor. You have advantage on saving throws against spells or effects that would send you to an extradimensional space, a demiplane, or another plane of existence against your will.Isolating Smite. When you hit a creature with this weapon, you can force the creature to make a DC 16 Charisma saving throw. On a failed save, the creature is banished to a harmless demiplane until the end of its next turn. When the banished creature returns, it reappears in the space it left or the nearest unoccupied space if that space is occupied. Once this property is used, it can't be used again until the next dawn.When you end your attunement to the sphere, the sphere harmlessly detaches from the weapon, and the weapon reverts to a nonmagical piece of equipment."
"Draakhorn","RoT","93","artifact","wondrous item","","","","","","","The Draakhorn was a gift from Tiamat in the war between dragons and giants. It was once the horn of her ancient red dragon consort, Ephelomon, that she gave to dragonkind to help them in their war against the giants. The Draakhorn is a signaling device, and it is so large that it requires two Medium creatures (or one Large or larger) to hold it while a third creature sounds it, making the earth resonate to its call. The horn has been blasted with fire into a dark ebony hue and is wrapped in bands of bronze with draconic runes that glow with purple eldritch fire.The low, moaning drone of the Draakhorn discomfits normal animals within a few miles, and it alerts all dragons within two thousand miles to rise and be wary, for great danger is at hand. Coded blasts were once used to signal specific messages. Knowledge of those codes has been lost to the ages.Those with knowledge of the Draakhorn's history know that it was first built to signal danger to chromatic dragons—a purpose the Cult of the Dragon has corrupted to call chromatic dragons to the Well of Dragons from across the North.Within 50 feet of any enclosed space where the horn is blown, the air begins to shimmer from the sound. Any character within 20 feet of the entry to the enclosed space must succeed on a DC 12 Strength check to continue pushing against the pressure of the sound. A failure indicates the character can advance no farther toward the entry.For any character entering the enclosed space, the sound fades to silence—because any creature that enters the enclosed space is temporarily deafened and must make a DC 12 Constitution saving throw. Success indicates the deafness ends 2 minutes after the Draakhorn ceases to sound. Failure indicates the character remains deafened for 1 hour after the Draakhorn ceases to sound.While the horn is sounding, a creature must make a DC 15 Constitution saving throw the first time on a turn the creature enters a 150-foot cone in front of the horn or starts its turn there. On a failed save, the creature takes 27 (6d8) thunder damage and is knocked prone. On a successful save, the creature takes half damage and isn't knocked prone."
"Draconic Longsword","ToA","173","unknown (magic)","weapon (Longsword), martial weapon, melee weapon","","1d8 Slashing","versatile (1d10)","","3 lb.","","This longsword has a dragon-shaped hilt. While you carry it, you gain the ability to speak and understand the Draconic language. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Draft Horse","PHB'24","229","none","mount","","Speed: 40, Carrying Capacity: 540 lb.","","","","50 gp",""
"Dragon Scale Mail","DMG'24","254","very rare","medium armor (scale mail)","requires attunement","AC 14 + Dex (max 2)","","","45 lb.","","The wearer has Disadvantage on Dexterity (Stealth) checks.Multiple variations of this item exist, as listed below:Black Dragon Scale MailBlue Dragon Scale MailBrass Dragon Scale MailBronze Dragon Scale MailCopper Dragon Scale MailGold Dragon Scale MailGreen Dragon Scale MailRed Dragon Scale MailSilver Dragon Scale MailWhite Dragon Scale Mail"
"Dragon Sensing Longsword","PotA","90","unknown (magic)","weapon (Longsword), martial weapon, melee weapon","","1d8 Slashing","versatile (1d10)","","3 lb.","","This +1 longsword is made of dragon bone and with a dragon-leather grip. It has rubies in its pommel and hilt. The sword grows warm and the rubies glow slightly when the sword is within 120 feet of a dragon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Dragon Slayer","DMG'24","254","rare","generic variant","","","","","","","You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.The weapon deals an extra 3d6 damage of the weapon's type if the target is a Dragon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (Dragon Slayer Antimatter Rifle)Automatic Rifle (Dragon Slayer Automatic Rifle)Battleaxe (Dragon Slayer Battleaxe)Blowgun (Dragon Slayer Blowgun)Club (Dragon Slayer Club)Dagger (Dragon Slayer Dagger)Dart (Dragon Slayer Dart)Double-Bladed Scimitar (Dragon Slayer Double-Bladed Scimitar)Flail (Dragon Slayer Flail)Glaive (Dragon Slayer Glaive)Greataxe (Dragon Slayer Greataxe)Greatclub (Dragon Slayer Greatclub)Greatsword (Dragon Slayer Greatsword)Halberd (Dragon Slayer Halberd)Hand Crossbow (Dragon Slayer Hand Crossbow)Handaxe (Dragon Slayer Handaxe)Heavy Crossbow (Dragon Slayer Heavy Crossbow)Hooked Shortspear (Dragon Slayer Hooked Shortspear)Hoopak (Dragon Slayer Hoopak)Hunting Rifle (Dragon Slayer Hunting Rifle)Javelin (Dragon Slayer Javelin)Lance (Dragon Slayer Lance)Laser Pistol (Dragon Slayer Laser Pistol)Laser Rifle (Dragon Slayer Laser Rifle)Light Crossbow (Dragon Slayer Light Crossbow)Light Hammer (Dragon Slayer Light Hammer)Light Repeating Crossbow (Dragon Slayer Light Repeating Crossbow)Longbow (Dragon Slayer Longbow)Longsword (Dragon Slayer Longsword)Mace (Dragon Slayer Mace)Maul (Dragon Slayer Maul)Morningstar (Dragon Slayer Morningstar)Musket (Dragon Slayer Musket)Pike (Dragon Slayer Pike)Pistol (Dragon Slayer Pistol)Quarterstaff (Dragon Slayer Quarterstaff)Rapier (Dragon Slayer Rapier)Revolver (Dragon Slayer Revolver)Scimitar (Dragon Slayer Scimitar)Semiautomatic Pistol (Dragon Slayer Semiautomatic Pistol)Shortbow (Dragon Slayer Shortbow)Shortsword (Dragon Slayer Shortsword)Shotgun (Dragon Slayer Shotgun)Sickle (Dragon Slayer Sickle)Sling (Dragon Slayer Sling)Spear (Dragon Slayer Spear)Staff (Dragon Slayer Staff)Trident (Dragon Slayer Trident)War Pick (Dragon Slayer War Pick)Warhammer (Dragon Slayer Warhammer)Whip (Dragon Slayer Whip)Wooden Staff (Dragon Slayer Wooden Staff)Yklwa (Dragon Slayer Yklwa)"
"Dragon Thighbone Club","SKT","105","unknown (magic)","weapon (Greatclub), simple weapon, melee weapon","attunement optional","1d8 Bludgeoning","two‑handed","","250 lb.","","This red dragon's thighbone is 14 feet long, 250 lbs, and is wrapped in old leather, suggesting that it was once used as a giant's greatclub.When you hit a creature of the dragon type with this weapon, it deals an extra 2d8 bludgeoning damage.If you attune to the greatclub, it magically shrinks to a size that you can wield effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Dragon Vessel","FTD","27","varies","wondrous item","requires attunement","","","","","","This vessel can be a potion bottle, drinking horn, or other container meant to hold a liquid.Multiple variations of this item exist, as listed below:Slumbering Dragon VesselStirring Dragon VesselWakened Dragon VesselAscendant Dragon Vessel"
"Dragon Wing Bow","FTD","23","rare","generic variant","requires attunement","","","","","","The limb tips of this magic bow are shaped like a dragon's wings, and the weapon is infused with the essence of a chromatic, gem, or metallic dragon's breath. When you hit with an attack roll using this magic bow, the target takes an extra 1d6 damage of the same type as the breath infused in the bow—acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, or thunder.If you load no ammunition in the weapon, it produces its own, automatically creating one piece of magic ammunition when you pull back the string. The ammunition created by the bow vanishes the instant after it hits or misses a target. Base items. This item variant can be applied to the following base items:Longbow (Dragon Wing Longbow)Shortbow (Dragon Wing Shortbow)"
"Dragon's Wrath Weapon","FTD","25","varies","generic variant","requires attunement","","","","","","This weapon is decorated with dragon heads, claws, wings, scales, or Draconic letters. When it steeps in a dragon's hoard, it absorbs the energy of the dragon's breath weapon and deals damage of that type with its special properties.Multiple variations of this item exist, as listed below:Slumbering Dragon's Wrath WeaponStirring Dragon's Wrath WeaponWakened Dragon's Wrath WeaponAscendant Dragon's Wrath Weapon"
"Dragon-Touched Focus","FTD","26","varies","wondrous item","requires attunement by a spellcaster","","","","","","This wondrous item can be a scepter, an orb, an amulet, a crystal, or another finely crafted object. It typically incorporates imagery of dragons' wings, claws, teeth, or scales.Multiple variations of this item exist, as listed below:Slumbering Dragon-Touched FocusStirring Dragon-Touched FocusWakened Dragon-Touched FocusAscendant Dragon-Touched Focus"
"Dragonchess Set","PHB'24","221","none","gaming set","","","","","","1 gp","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dragongleam","HotDQ","84","unknown (magic)","weapon (Spear), simple weapon, melee weapon","","1d6 Piercing","thrown (20/60 ft.), versatile (1d8)","","3 lb.","","This spear is enchanted with 10 charges of a daylight spell for use in twilight or dark forest underbrush. The command phrase is ""Tiamat's eyes shine,"" written in Draconic runes on the spear's crossguard. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Dragonguard","PaBTSO","72","rare","medium armor (breastplate)","","AC 14 + Dex (max 2)","","","20 lb.","","You have a +1 bonus to AC while wearing this armor.This breastplate has a gold dragon motif worked into its design. Created for a human hero of old Neverwinter named Tergon, it grants its wearer advantage on saving throws against the breath weapons of Dragons.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
"Dragonlance","FTD","23","legendary","generic variant","requires attunement","","","","","","A dragonlance is a renowned weapon forged from rare metal with the aid of powerful artifacts associated with Bahamut. Different lances are forged for use by foot soldiers (as pikes) and by riders (as lances), but the magical properties of the weapons are the same.You gain a +3 bonus to attack and damage rolls made with this magic weapon.When you hit a Dragon with this weapon, the Dragon takes an extra 3d6 force damage, and any Dragon of your choice that you can see within 30 feet of you can immediately use its reaction to make a melee attack. Base items. This item variant can be applied to the following base items:Lance (Dragonlance Lance)Pike (Dragonlance Pike)"
"Dragonstaff of Ahghairon","WDH","191","legendary","staff, weapon, simple weapon, melee weapon","requires attunement","1d6 Bludgeoning","versatile (1d8)","","4 lb.","","While holding the dragonstaff of Ahghairon, you have advantage on saving throws against the spells and breath weapons of dragons, as well as the breath weapons of other creatures of the dragon type (such as dragon turtles).A creature of the dragon type that you touch with the staff can move through the city of Waterdeep, ignoring Ahghairon's dragonward (see ""Ahghairon's Dragonward,"" in the Introduction). This effect lasts until the creature is touched again by the staff or until a time you proclaim when you confer the benefit.The staff has 10 charges. While holding it, you can expend 1 charge as an action to cast the command spell. If you target a dragon with this casting, the dragon has disadvantage on its saving throw. The staff regains 1d10 charges daily at dawn. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Dragontooth Dagger","RoT","94","rare","weapon (Dagger), simple weapon, melee weapon","","1d4 Piercing","finesse, light, thrown (20/60 ft.)","","1 lb.","","A dagger fashioned from the tooth of a dragon. While the blade is obviously a fang or predator's tooth, the handle is leather wrapped around the root of the tooth, and there is no crossguard.You gain a +1 bonus to attack and damage rolls made with this weapon. On a hit with this weapon, the target takes an extra 1d6 acid damage. Draconic Potency. Against enemies of the Cult of the Dragon, the dagger's bonus to attack and damage rolls increases to 2, and the extra acid damage increases to 2d6. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Dread Helm","DMG'24","254","common","wondrous item","","","","","","","While you're wearing this fearsome steel helm, your eyes glow red and the rest of your face is hidden in shadow."
"Dried Leech","BMT","67","uncommon","ammunition, generic variant","","","","","","","This leech has been dried and imbued with a mote of animating magic. If you hit a creature with a ranged attack roll using this ammunition, the leech springs to life and sinks its teeth into the target, dealing 1d4 piercing damage at the start of each of the target's turns. If the leech deals at least 10 damage or the target dies, the leech falls off. A creature, including the target, can use its action to detach the leech. Once a leech is no longer attached to its target, the leech dies and is no longer magical. Base items. This item variant can be applied to the following base items:Arrow (Dried Leech Arrow)Bolt (Dried Leech Bolt)Firearm Bullet (Dried Leech Firearm Bullet)Needle (Dried Leech Needle)Sling Bullet (Dried Leech Sling Bullet)"
"Driftglobe","DMG'24","254","uncommon","wondrous item","","","","","1 lb.","","This small sphere of thick glass weighs 1 pound. If you are within 60 feet of it, you can command it to emanate light equivalent to that of the Light or Daylight spell (your choice). Once used, the Daylight effect can't be used again until the next dawn.You can issue another command as a Magic action to make the illuminated globe rise into the air and float no more than 5 feet off the ground. The globe hovers in this way until you or another creature grasps it. If you move more than 60 feet from the hovering globe, it follows you until it is within 60 feet of you. It takes the shortest route to do so. If prevented from moving, the globe sinks gently to the ground and becomes inactive, and its light winks out."
"Drown","PotA","224","legendary","weapon (Trident), martial weapon, melee weapon","requires attunement","1d6 Piercing","thrown (20/60 ft.), versatile (1d8)","","4 lb.","","A steel trident decorated with bronze barnacles along the upper part of its haft, Drown has a sea-green jewel just below the tines and a silver shell at the end of its haft. It floats on the surface if dropped onto water, and it floats in place if it is released underwater. The trident is always cool to the touch, and it is immune to any damage due to exposure to water. Drown contains a spark of Olhydra, the Princess of Evil Water.You gain a +1 bonus to attack and damage rolls made with this magic weapon. When you hit with it, the targets take an extra 1d8 cold damage. Water Mastery. You gain the following benefits while you hold Drown:You can speak Aquan fluently.You have resistance to cold damage.You can cast dominate monster (save DC 17) on a water elemental. Once you have done so, Drown can't be used this way again until the next dawn. Tears of Endless Anguish. While inside a water node, you can perform a ritual called the Tears of Endless Anguish, using Drown to create a devastation orb of water. Once you perform the ritual, Drown can't be used to perform the ritual again until the next dawn. Flaw. Drown makes its wielder covetous. While attuned to the weapon, you gain the following flaw: ""I demand and deserve the largest share of the spoils, and I refuse to part with anything that's mine."" In addition, if you are attuned to Drown for 24 consecutive hours, barnacles form on your skin. The barnacles can be removed with a greater restoration spell or similar magic, but not while you are attuned to the weapon. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Druidic Focus","PHB'24","225","none","spellcasting focus","","","","","","","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus.Multiple variations of this item exist, as listed below:Sprig of mistletoeWooden staffYew wand"
"Drum","PHB'24","221","none","instrument","","","","","3 lb.","6 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dulcimer","PHB'24","221","none","instrument","","","","","10 lb.","25 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dungeoneer's Pack","PHB'24","225","none","adventuring gear","","","","","55 lb.","12 gp","A Dungeoneer's Pack contains the following items: Backpack, Caltrops, Crowbar, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Duplicitous Manuscript","TCE","126","rare","wondrous item","requires attunement by a wizard","","","","3 lb.","","To you, this book is a magical spellbook. To anyone else, the book appears to be a volume of verbose romance fiction. As an action, you can change the book's appearance and alter the plot of the romance.When found, the book contains the following spells: hallucinatory terrain, major image, mirror image, mislead, Nystul's magic aura, phantasmal force, and silent image. It functions as a spellbook for you.While you are holding the book, you can use it as a spellcasting focus for your wizard spells.The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the illusion school.When a creature you can see makes an Intelligence (Investigation) check to discern the true nature of an illusion spell you cast, or makes a saving throw against an illusion spell you cast, you can use your reaction and expend 1 charge to impose disadvantage on the roll."
"Dust of Corrosion","WBtW","209","uncommon","wondrous item","","","","","","","As an action, you can throw this dust into the air, filling a 10-foot cube that extends out from you. Surfaces and objects made of nonmagical ferrous metal in the area instantly corrode and turn to dust, becoming useless and unsalvageable. Any creature in the area that is made wholly or partly out of ferrous metal must make a DC 13 Constitution saving throw, taking 4d8 necrotic damage on a failed save, or half as much damage on a successful one.Found in a small packet, this dust is made from finely ground rust monster antennae. There is enough dust in each packet for one use."
"Dust of Disappearance","DMG'24","255","uncommon","wondrous item","","","","","","","This powder resembles fine sand. There is enough of it for one use. When you take a Utilize action to throw the dust into the air, you and each creature and object within a 10-foot Emanation originating from you have the Invisible condition for 2d4 minutes. The duration is the same for all subjects, and the dust is consumed when its magic takes effect. Immediately after an affected creature makes an attack roll, deals damage, or casts a spell, the Invisible condition ends for that creature."
"Dust of Dryness","DMG'24","255","uncommon","wondrous item","","","","","","","This small packet contains 1d6 + 4 pinches of dust. As a Utilize action, you can sprinkle a pinch of the dust over water, turning up to a 15-foot Cube of water into one marble-sized pellet, which floats or rests near where the dust was sprinkled. The pellet's weight is negligible. A creature can take a Utilize action to smash the pellet against a hard surface, causing the pellet to shatter and release the water the dust absorbed. Doing so destroys the pellet and ends its magic.As a Utilize action, you can sprinkle a pinch of the dust on an Elemental within 5 feet of yourself that is composed mostly of water (such as a Water Elemental or a Water Weird). Such a creature exposed to a pinch of the dust makes a DC 13 Constitution saving throw, taking 10d6 Necrotic damage on a failed save or half as much damage on a successful one."
"Dust of Sneezing and Choking","DMG'24","255","uncommon","wondrous item","","","","","","","Found in a small container, this powder resembles Dust of Disappearance, and Identify reveals it to be such. There is enough of it for one use.As a Utilize action, you can throw the dust into the air, forcing yourself and every creature in a 30-foot Emanation originating from you to make a DC 15 Constitution saving throw. Constructs, Elementals, Oozes, Plants, and Undead succeed on the save automatically.On a failed save, a creature begins sneezing uncontrollably; it has the Incapacitated condition and is suffocating. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success. The effect also ends on any creature targeted by a Lesser Restoration spell."
"Dwarven Plate","DMG'24","255","very rare","generic variant","","","","","","","While wearing this armor, you gain a +2 bonus to Armor Class. In addition, if an effect moves you against your will along the ground, you can take a Reaction to reduce the distance you are moved by up to 10 feet. Base items. This item variant can be applied to the following base items:Half Plate Armor (Dwarven Half Plate Armor)Plate Armor (Dwarven Plate Armor)"
"Dwarven Thrower","DMG'24","256","very rare","weapon (Warhammer), martial weapon, melee weapon","requires attunement by a dwarf","1d8 Bludgeoning","Thrown (20/60 ft.), Versatile (1d10)","Mastery: Push","5 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. It has Thrown with a normal range of 20 feet and a long range of 60 feet. When you hit with a ranged attack using this weapon, it deals an extra 1d8 Force damage, or an extra 2d8 Force damage if the target is a Giant. Immediately after hitting or missing, the weapon flies back to your hand. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Dynamite Stick","DMG'24","73","none","explosive, modern","","","","","1 lb.","","An an action, you can light a Dynamite Stick and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Force damage on a failed save or half as much damage on a successful one.It takes 1 minute to bind two or more Dynamite Sticks together so they explode at the same time. Each stick after the first increases the damage by 1d6 (to a maximum of 10d6) and the effect's radius by 5 feet (to a maximum of 20 feet).It takes 1 minute to rig dynamite with a longer fuse so it explodes after a longer period of time, such as 1 minute or 10 minutes."
"Eagle Whistle","TftYP","228","rare","wondrous item","","","","","1 lb.","","While you blow an eagle whistle continuously, you can fly twice as fast as your walking speed. You can blow the whistle continuously for a number of rounds equal to 5 + five times your Constitution modifier (minimum of 1 round) or until you talk, hold your breath, or start suffocating. A use of the whistle also ends if you land. If you are aloft when you stop blowing the whistle, you fall. The whistle has three uses. It regains expended uses daily at dawn."
"Ear Horn of Hearing","DMG'24","256","common","wondrous item","","","","","","","While held up to your ear, this horn suppresses the effects of the Deafened condition on you."
"Efreeti Bottle","DMG'24","256","very rare","wondrous item","","","","","","","When you take a Magic action to remove the stopper of this painted brass bottle, a cloud of thick smoke flows out of it. At the end of your turn, the smoke disappears with a flash of harmless fire, and an Efreeti appears in an unoccupied space within 30 feet of you.The first time the bottle is opened, the DM rolls on the following table to determine what happens.1d10Effect1The efreeti attacks you. After fighting for 5 rounds, the efreeti disappears, and the bottle loses its magic.2-9The efreeti understands your languages and obeys your commands for 1 hour, after which it returns to the bottle, and a new stopper contains it. The stopper can't be removed for 24 hours. The next two times the bottle is opened, the same effect occurs. If the bottle is opened a fourth time, the efreeti escapes and disappears, and the bottle loses its magic.10The efreeti understands your languages and can cast Wish once for you. It disappears when it grants the wish or after 1 hour, and the bottle loses its magic."
"Efreeti Chain","DMG'24","257","legendary","generic variant","requires attunement","","","","","","While wearing this armor, you gain a +3 bonus to Armor Class, you have Immunity to Fire damage, and you know Primordial. In addition, you can stand on and move across molten rock as if it were solid ground. Base items. This item variant can be applied to the following base items:Chain Mail (Efreeti Chain Mail)Chain Shirt (Efreeti Chain Shirt)"
"Elder Cartographer's Glossography","AI","20","uncommon","wondrous item","","","","","","","When you attain rank 4, you gain a small tome that is an uncommon magic item. The elder cartographer's glossography grants advantage on Intelligence or Wisdom checks related to geographical features or locations."
"Eldritch Claw Tattoo","TCE","126","uncommon","wondrous item (tattoo)","requires attunement","","","","","","Produced by a special needle, this magic tattoo depicts claw-like forms and other jagged shapes. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Magical Strikes. While the tattoo is on your skin, your unarmed strikes are considered magical for the purpose of overcoming immunity and resistance to nonmagical attacks, and you gain a +1 bonus to attack and damage rolls with unarmed strikes. Eldritch Maul. As a bonus action, you can empower the tattoo for 1 minute. For the duration, each of your melee attacks with a weapon or an unarmed strike can reach a target up to 15 feet away from you, as inky tendrils launch toward the target. In addition, your melee attacks deal an extra 1d6 force damage on a hit. Once used, this bonus action can't be used again until the next dawn."
"Eldritch Staff","WBtW","209","very rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6 Bludgeoning","versatile (1d8)","","4 lb.","","This staff can be wielded as a magic quarterstaff that grants a +1 bonus to attack and damage rolls made with it.The staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff is destroyed in an otherwise harmless burst of eldritch energy. Eldritch Attack. When you hit with a melee attack using the staff, you can expend up to 3 of its charges. For each charge you expend, the target takes an extra 1d8 lightning damage. Eldritch Escape. If you take damage while holding the staff, you can use your reaction to expend 3 of the staff's charges, whereupon you turn invisible and teleport yourself, along with any equipment you are wearing or carrying, up to 60 feet to an unoccupied space that you can see. You remain invisible until the start of your next turn or until you attack, cast a spell, or deal damage. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
